Season,Competition,Matchday,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Age
2004-05,LaLiga,34,H,FC Barcelona,Albacete Balompie,02:00,CF,90+1,Left-footed shot,18
2005-06,UEFA Champions League,Group Stage,H,FC Barcelona,Panathinaikos Athens,05:00,RW,34,Left-footed shot,19
2005-06,LaLiga,13,H,FC Barcelona,Racing Santander,04:01,RW,51,Left-footed shot,19
2005-06,LaLiga,19,H,FC Barcelona,Athletic Bilbao,02:01,RW,50,Left-footed shot,19
2005-06,LaLiga,20,H,FC Barcelona,Deportivo Alaves,02:00,CF,82,Left-footed shot,19
2005-06,LaLiga,21,A,FC Barcelona,RCD Mallorca,00:03,CF,75,Right-footed shot,19
2005-06,LaLiga,21,A,FC Barcelona,RCD Mallorca,00:03,CF,83,Left-footed shot,19
2005-06,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Zaragoza,02:01,CF,42,Header,19
2005-06,LaLiga,24,H,FC Barcelona,Real Betis Balompie,05:01,RW,84,Left-footed shot,19
2006-07,LaLiga,1,A,FC Barcelona,Celta de Vigo,02:03,LW,59,Left-footed shot,19
2006-07,LaLiga,2,H,FC Barcelona,CA Osasuna,03:00,RW,36,Left-footed shot,19
2006-07,UEFA Champions League,Group Stage,A,FC Barcelona,SV Werder Bremen,01:01,RW,89,Left-footed shot,19
2006-07,LaLiga,6,H,FC Barcelona,Sevilla FC,03:01,RW,80,Right-footed shot,19
2006-07,LaLiga,26,H,FC Barcelona,Real Madrid,03:03,RW,11,Left-footed shot,19
2006-07,LaLiga,26,H,FC Barcelona,Real Madrid,03:03,RW,28,Left-footed shot,19
2006-07,LaLiga,26,H,FC Barcelona,Real Madrid,03:03,RW,90+1,Left-footed shot,19
2006-07,LaLiga,27,A,FC Barcelona,Recreativo Huelva,00:04,RW,86,Left-footed shot,19
2006-07,LaLiga,28,H,FC Barcelona,Deportivo de La Coruaa,02:01,RW,45,Left-footed shot,19
2006-07,Copa del Rey,Semi-Finals,H,FC Barcelona,Getafe CF,05:02,RW,29,Solo run,19
2006-07,Copa del Rey,Semi-Finals,H,FC Barcelona,Getafe CF,05:02,RW,45,Left-footed shot,19
